NEWST	NAME	ROLE	TITLE	POSITION	DURATION	DAYS	SUB_COUNT	TOTAL_VIEWS	TOPICS	Beautiful	OK	Funny	Unconvincing	Fascinating	Informative	Ingenious	Persuasive	Inspiring	Courageous	Obnoxious	Confusing	Longwinded	Jaw-dropping	Role_refine
p.2-12	Dorothy Roberts	Professor, author and social justice advocate	The problem with race-based medicine	TEDMED 2015	14:36	2015-11	12	724,228	Business,Creativity,Curiosity,Decision-making,Exploration,Failure,Innovation,Invention,Leadership,Motivation,Personal growth,Potential,Success,Work,,	12	32	3	63	35	169	4	69	65	25	20	13	15	14	Profession
p.2-13	Mike Velings	Entrepreneur and conservationist	The case for fish farming	Mission Blue II	15:18	2015-10	6	920,173	Business,Creativity,Curiosity,Goal-setting,Innovation,Motivation,Potential,Success,Work,,	9	9	4	17	65	242	22	123	101	11	8	13	11	4	Management
p.2-14	Gregory Heyworth	Textual scientist	How I'm discovering the secrets of ancient texts	TEDxUM	12:07	2015-10	10	581,163	Planets,TEDx,Bacteria,Biology,Engineering,Environment,Evolution,Exploration,Future,Innovation,Intelligence,Microbiology,Nature,Potential,Science,,	34	24	0	0	197	180	53	14	86	4	4	2	11	15	Science
p.2-15	Sean Follmer	Human-computer interaction researcher and designer	Shape-shifting tech will change work as we know it	TEDxCERN	9:22	2015-10	10	973,352	Debate,Activism,Big problems,Children,Choice,Community,Future,Goal-setting,Government,Law,Leadership,Marketing,Parenting,Policy,Social change,Violence,,	55	37	16	41	280	143	155	16	156	22	4	8	5	87	Art
p.2-16	Dambisa Moyo	Global economist 	Economic growth has stalled. Let's fix it	TEDGlobal>Geneva	14:04	2015-12	11	1,073,353	Brazil,Slavery,Art,Beauty,Community,Creativity,Culture,Design,Global issues,Humanity,Identity,Photography,Race,Social change,Society,Visualizations,,	6	59	20	67	27	93	9	90	45	28	17	28	17	0	Management
p.2-17	Matthew Williams	Special Olympics International Sargent Shriver Global Messenger	Special Olympics let me be myself — a champion	TEDxVancouver	14:12	2015-11	10	839,889	NASA,Communication,Computers,Creativity,Design,Engineering,Exploration,Future,Innovation,Interface design,Invention,Microsoft,Potential,Prediction,Product design,Technology,Visualizations,,	87	15	2	5	27	109	3	59	296	237	1	1	6	12	Profession
p.2-18	Pardis Sabeti	Computational geneticist	How we'll fight the next deadly virus	TEDWomen 2015	9:37	2015-05	17	887,538	Africa,Internet,Community,Democracy,Development,Future,Government,Identity,Leadership,Politics,Potential,,	71	23	0	4	9	96	6	60	133	55	0	4	2	1	Science
p.2-19	Judson Brewer	Mindful addiction doctor	A simple way to break a bad habit	TEDMED 2015	9:24	2015-11	23	3,159,523	Ancient world,Animals,Biology,Biosphere,Curiosity,Environment,Evolution,History,Life,Nature,Paleontology,Science,,	103	155	17	99	394	1183	106	527	647	25	1	33	39	10	Profession
p.2-20	Andrés Ruzo	Geoscientist	How I found a mythical boiling river in the Amazon	TEDGlobal 2014	15:49	2014-10	9	669,261	TEDx,Business,Culture,Economics,Personal growth,Success,Work,,	203	19	14	9	298	233	10	49	356	37	20	5	28	61	Science
p.2-21	Linda Liukas	Programmer, storyteller and illustrator	A delightful way to teach kids about computers	TEDxCERN	11:03	2015-10	22	1,109,486	Criminal Justice,Big problems,Choice,Compassion,Decision-making,Education,Government,Inequality,Law,Leadership,Policy,Race,Social change,Society,,	223	72	80	26	124	86	40	38	318	42	27	29	28	4	Science
p.2-22	Melati and Isabel Wijsen	Activists	Our campaign to ban plastic bags in Bali	TEDGlobal>London	11:00	2015-09	15	894,995	Senses,Augmented reality,Brain,Computers,Creativity,Cyborg,Demo,Design,Engineering,Entrepreneur,Innovation,Interface design,Invention,Neuroscience,Potential,Prediction,Product design,Technology,Visualizations,,	124	55	21	1	49	55	26	88	520	178	10	3	5	19	Public
p.2-23	Auke Ijspeert	Roboticist	A robot that runs and swims like a salamander	TEDGlobal>Geneva	14:10	2015-12	12	1,006,871	Debate,Big problems,Business,Capitalism,Collaboration,Community,Democracy,Economics,Global issues,Government,Identity,Leadership,Philosophy,Policy,Politics,Social change,Society,,	24	43	12	2	94	140	75	10	56	12	1	7	5	26	Science
p.2-24	Tania Simoncelli	Policy expert	Should you be able to patent a human gene?	TEDxAmoskeagMillyard	18:05	2014-11	11	839,821	TED Fellows,Activism,Big problems,Crime,Design,Innovation,Interface design,Product design,Sex,Social change,Software,Violence,Women,,	25	19	8	9	55	147	21	28	136	93	7	6	5	35	Public
p.2-25	David Gruber	Marine biologist, explorer-photographer	Glow-in-the-dark sharks and other stunning sea creatures	Mission Blue II	13:54	2015-10	14	1,456,215	Internet,Brain,Choice,Comedy,Decision-making,Entertainment,Funny,Goal-setting,Humor,Mind,Online video,Productivity,Time,Visualizations,Work,Writing,,	153	5	7	6	248	210	16	15	49	5	1	7	1	57	Science
p.2-26	Yanis Varoufakis	Economist and professor	Capitalism will eat democracy — unless we speak up	TEDGlobal>Geneva	19:51	2015-12	20	1,641,048	Behavioral economics,Business,Collaboration,Community,Culture,Design,Economics,Entrepreneur,Future,Innovation,Potential,Privacy,Product design,Relationships,Social change,Technology,Urban planning,,	96	26	20	82	306	478	90	268	323	271	21	52	22	26	Profession
p.2-27	Elizabeth Lev	Art historian	The unheard story of the Sistine Chapel	TEDGlobal>Geneva	17:33	2015-12	14	1,100,201	God,Big problems,Business,Capitalism,Community,Education,Faith,Inequality,Social change,Society,,	206	46	2	17	286	316	14	28	126	4	6	18	30	31	Humanist
p.2-28	Achenyo Idachaba	Green entrepreneur	How I turned a deadly plant into a thriving business	TEDWomen 2015	7:17	2015-05	22	1,427,257	Buddhism,Alternative energy,Beauty,Big problems,Biosphere,Climate change,Democracy,Development,Economics,Environment,Future,Global issues,Goal-setting,Government,Green,Happiness,Humanity,Innovation,Leadership,Nature,Politics,Pollution,Sustainability,Trees,World cultures,,	121	61	4	4	96	96	151	25	293	70	1	0	5	3	Management
p.2-29	Oscar Schwartz	Writer and poet	Can a computer write poetry?	TEDxYouth@Sydney	10:56	2015-05	17	584,718	TEDx,Creativity,Curiosity,Design,Empathy,Family,Illusion,India,Innovation,Invention,Mobility,Motivation,Product design,Simplicity,,	63	34	20	34	104	125	37	25	95	10	4	14	13	4	Humanist
p.2-30	Jill Farrant	Professor of molecular and cell biology	How we can make crops survive without water	TEDGlobal>Geneva	13:56	2015-12	15	1,030,975	TEDx,Adventure,Ancient world,Animals,Beauty,Biodiversity,Biology,Biosphere,Chemistry,Climate change,Environment,Exploration,Future,History,Life,Nature,Oceans,Science,Water,,	69	28	6	8	99	188	60	43	69	6	2	3	7	19	Science
p.2-31	Jill Heinerth	Cave diver	The mysterious world of underwater caves	TEDYouth 2015	6:49	2015-11	22	1,166,846	Vaccines,Agriculture,Biomechanics,Biosphere,Biotech,Botany,Chemistry,Climate change,Collaboration,Data,Design,Ebola,Education,Engineering,Environment,Food,Future,Garden,Green,Innovation,Nature,Open-source,Potential,Science,Software,Sustainability,Technology,Virus,Water,,	122	41	9	11	221	187	13	14	79	54	8	0	16	50	Explorer
p.2-32	Ole Scheeren	Architect	Why great architecture should tell a story	TEDGlobal>London	16:26	2015-09	17	1,501,735	Children,Computers,Development,Education,Future,Inequality,Innovation,Motivation,Personal growth,Potential,Programming,Social change,Software,Teaching,Women,,	206	33	7	13	308	141	145	28	256	27	5	9	10	24	Science
p.2-33	Wael Ghonim	Internet activist and computer engineer	Let's design social media that drives real change	TEDGlobal>Geneva	13:34	2015-12	15	1,029,908	Brand,Internet,Business,Cars,China,Cities,Economics,Entrepreneur,Environment,Future,Green,India,Innovation,Invention,Investment,Mobility,Pollution,Potential,Society,Software,Sustainability,Technology,Transportation,Web,,	116	32	6	18	34	164	18	162	240	166	7	7	10	12	Public
p.2-34	Melvin Russell	Chief of the Community Partnership Division, Baltimore Police Department	I love being a police officer, but we need reform	TEDxMidAtlantic	13:07	2015-09	9	764,195	Europe,Middle East,Big problems,Disaster relief,Economics,Failure,Fear,Future,Global issues,Government,Policy,Politics,Potential,Refugees,Security,Social change,,	104	36	29	15	20	99	14	75	229	114	1	6	18	2	Profession
p.2-35	Tim Harford	Economist, journalist and broadcaster	How frustration can make us more creative	TEDGlobal>London	15:32	2015-09	22	1,694,283	Internet,TEDMED,Big problems,Complexity,Curiosity,Data,Depression,Health,Health care,Illness,Innovation,Medical research,Medicine,Potential,Science,,	108	62	10	13	166	205	71	215	540	50	2	5	11	10	Media
p.2-36	James Veitch	Comedian and writer	This is what happens when you reply to spam email	TEDGlobal>Geneva	9:48	2015-12	36	6,014,582	TEDYouth,Arts,Beauty,Creativity,Entertainment,Materials,Street art,,	132	106	4395	39	547	221	984	43	220	125	42	13	32	86	Art
p.3-1	David Sedlak	Civil and environmental engineer	4 ways we can avoid a catastrophic drought	TEDxMarin	13:37	2015-09	11	824,426	Adventure,Animals,Arts,Beauty,Biodiversity,Biosphere,Conservation,Curiosity,Environment,Exploration,Fish,Future,Global issues,Mission blue,Nature,Oceans,Photography,Sustainability,Water,,	14	22	4	9	32	224	27	91	83	8	1	1	9	5	Public
p.3-2	Aomawa Shields	Astronomer, astrobiologist, actor, writer	How we'll find life on other planets	TED2015	5:25	2015-03	34	1,202,140	Gender spectrum,LGBT,TEDx,Transgender,Design,Future,Gender,Identity,Social change,Storytelling,,	122	66	19	20	112	200	21	18	183	22	30	8	7	3	Science
p.3-3	Sebastian Wernicke	Data scientist	How to use data to make a hit TV show	TEDxCambridge	12:25	2015-06	19	1,204,448	AIDS,Africa,TEDMED,United States,Big problems,Disease,Global issues,Government,Health,Health care,Illness,Inequality,Medical research,Medicine,Public health,Race,Social change,Virus,,	25	78	69	47	150	351	23	93	117	16	3	14	25	5	Science
p.3-4	Harry Cliff	Particle physicist	Have we reached the end of physics?	TEDGlobal>Geneva	13:57	2015-12	16	1,693,326	Business,Finance,Social change,Sustainability,,	57	48	20	21	313	423	35	51	96	13	10	22	9	69	Science
p.3-5	Robert Waldinger	Psychiatrist, psychoanalyst and Zen priest	What makes a good life? Lessons from the longest study on happiness	TEDxBeaconStreet	12:46	2015-11	33	8,159,938	Islam,United States,Culture,Faith,Politics,,	2297	171	85	75	1429	1715	78	970	5436	178	22	8	77	77	Science
p.3-6	Jason deCaires Taylor	Sculptor	An underwater art museum, teeming with life	Mission Blue II	11:09	2015-10	24	1,179,264	Alternative energy,Climate change,Energy,Science,Weather,,	380	15	19	7	160	80	96	63	258	14	13	6	8	35	Art
p.3-7	Rodrigo Bijou	Security researcher 	Governments don't understand cyber warfare. We need hackers	TEDGlobal>London	9:28	2015-06	19	982,964	Beauty,Cooperation,Creativity,Demo,Design,Drones,Flight,Future,Invention,Technology,,	10	55	11	48	56	239	17	98	58	60	13	27	14	9	Humanist
p.3-8	António Guterres	United Nations High Commissioner for Refugees	Refugees have the right to be protected	TEDGlobal>Geneva	19:54	2015-12	22	939,876	Astronomy,Cosmos,Curiosity,Exploration,Nature,Physics,Science,Space,Technology,Universe,,	26	28	9	18	25	166	4	81	123	66	12	8	3	5	Vip
p.3-9	Jane Fonda and Lily Tomlin	Actor and activist	A hilarious celebration of lifelong female friendship	TEDWomen 2015	15:44	2015-05	25	1,444,200	Arts,Children,Creativity,Culture,Decision-making,Family,Identity,Motivation,Parenting,Personal growth,Television,Work,Writing,,	196	49	274	25	53	90	6	42	342	83	25	18	21	3	Public
p.3-10	Alison Killing	Architect	What happens when a city runs out of room for its dead	TEDxGroningen	8:49	2014-11	20	1,233,678	TEDx,Communication,Interview,Language,Personal growth,,	20	74	47	11	52	181	11	10	5	10	4	16	10	2	Science
p.3-11	Lucianne Walkowicz	Stellar astronomer	Let's not use Mars as a backup planet	TED2015	5:50	2015-03	29	1,643,715	Surgery,Brain,Health,Medical research,Medicine,Mind,Neuroscience,Science,,	66	83	35	23	179	245	47	199	262	50	4	31	8	21	Science
p.3-12	Paul Greenberg	Author	The four fish we're overeating — and what to eat instead	Mission Blue II	14:24	2015-10	13	1,320,897	Slavery,Activism,Big problems,Disease,Health,Health care,Illness,Inequality,Law,Medical research,Medicine,Public health,Race,Social change,Society,Sociology,,	5	31	16	14	137	393	20	198	130	22	2	3	8	19	Humanist
p.3-13	Nicole Paris and Ed Cage	Beatboxers	A beatboxing lesson from a father-daughter duo	TEDYouth 2015	7:01	2015-11	21	1,105,081	Big problems,Biodiversity,Biosphere,Business,Consumerism,Environment,Fish,Food,Global issues,Innovation,Mission blue,Oceans,Sustainability,,	52	52	157	10	88	14	37	1	28	8	43	10	9	48	Art
